courses,course_topics
Openstack,"OpenStack ReleasesOpenStack Project Overview Part-1Openstack-project-overview-Part-2Role-of-openstack-ProjectsSystem RequirementsDeploy 3 ubuntu serversPrepare Contoller NodePrepare Network NodePrepare Compute NodePrepare networking on Contoller NodePrepare Networking on Network NodePrepare Networking Compute NodeVerify your node communication NTP and Sysctl.confWhere are we in the labMySql -Server OverviewRole of MySql DB in OpenStackInstall and configure MySql-ServerMysql Management CLI basedMySql Management GUI basedWhere are we in the lab"
Aws cloud_solution Architect,"Overview Amazon Management ConsoleManagement Activity and Billing overviewAmazon PricingAn overview of AWSEC2- An overviewEBS- An OverviewSecurity Group-An OverviewElastic IP- An overviewCloud Front-An OverviewS3- An overviewGlacier- An overviewIAM – An OverviewRDS- AN overviewLaunch Windows server 2012 InstanceDecrypt Password and download RDP shortcut clientConnect to the EC2 Windows 2012 instanceTerminate the Windows server 2012 InstanceCreating Security GroupsModify Security GroupsDelete Security GroupsCreate Standard VolumeCreate and delete snapshotsCreate Provisioned I/o VolumeAssign volumes to Windows server 2012 and Ubuntu 14.04 serverDisassociate and Delete volumes"
Aws developer Associate,"Overview Amazon Management ConsoleManagement Activity and Billing overviewAmazon PricingAn overview of AWSEC2- An overviewEBS- An OverviewSecurity Group-An OverviewElastic IP- An overviewCloud Front-An OverviewS3- An overviewGlacier- An overviewIAM – An OverviewRDS- An overviewLaunch Windows server 2012 InstanceDecrypt Password and download RDP shortcut clientconnect to the EC2 Windows 2012 instanceTerminate the Windows server 2012 InstanceCreating Security GroupsModify Security GroupsDelete Security GroupsCreate Standard VolumeCreate and delete snapshotsAssign volumes to Windows server 2012 and Ubuntu 14.04 serverDisassociate and Delete volumesLaunch Two Ubuntu EC2 Instances- apache web servers with user data"
Aws sysops Associate,"Overview Amazon Management ConsoleManagement Activity and Billing overviewAmazon PricingAn overview of AWSEC2- An overviewEBS- An OverviewSecurity Group-An OverviewElastic IP- An overviewCloud Front-An OverviewS3- An overviewGlacier- An overviewIAM – An OverviewRDS- AN overviewLaunch Windows server 2012 InstanceDecrypt Password and download RDP shortcut clientconnect to the EC2 Windows 2012 instanceTerminate the Windows server 2012 InstanceCreating Security GroupsModify Security GroupsDelete Security GroupsCreate Standard VolumeCreate and delete snapshotsCreate Provisioned I/o VolumeAssign volumes to Windows server 2012 and Ubuntu 14.04 serverDisassociate and Delete volumes"
Azure cloud Architect,"Overview  Azure PortalManagement Activity and Billing overviewAzure PricingAn overview of  AzureAzure Virtual Machines- An overviewAzure Block Storage- An OverviewAzure Endpoints -An OverviewAzure Roles  -An overviewAzure SQL Azure – An overviewAzure HD Insight –An overviewAzure websites – AN overviewAzure Networking – AN overviewLaunch Windows server 2012 R2 InstanceDownload RDP shortcut clientconnect to the  Windows 2012 Virtual machineUpgrade your Virtual machine to hardware planTerminate the Windows server 2012 InstanceWhy endpoints are importantEdit EndpointsAdd endpointsRemove endpointsCreate Block storage volumeAttach volume to windows Server 2012R2Format the volume using NTFS from VMDetach and delete volume"
Azure cloud Implementing,"Overview Azure PortalManagement Activity and Billing overviewAzure PricingAn overview of AzureAzure Virtual Machines- An overviewAzure Block Storage- An OverviewAzure Endpoints -An OverviewAzure Roles -An overviewAzure SQL Azure – An overviewAzure HD Insight –An overviewAzure websites – AN overviewAzure Networking – AN overviewLaunch Windows server 2012 R2 InstanceDownload RDP shortcut clientconnect to the Windows 2012 Virtual machineUpgrade your Virtual machine to hardware planTerminate the Windows server 2012 InstanceWhy endpoints are importantEdit EndpointsAdd endpointsRemove endpointsrCreate Block storage volumeAttach volume to windows Server 2012R2Format the volume using NTFS from VMDetach and delete volume"
Google cloud Architect,"Overview Google Compute Engine ConsoleManagement Activity and Billing overviewGoogle Compute Engine PricingAn overview of GCEGCE-VM’s- An overviewGCE VM storage- An OverviewApp Engine – An overviewGCP – Container Engine-An OverviewGCP – Container Registry- An overviewGCP – Cloud Storage – An overviewGCP – Cloud DataStoreGCP – Cloud SQLGCP – Networking ,Load BalancingGCP – Cloud DNSGCP – Cloud Dataproc ( BigData service)GCP – Cloud IAMRole of the Cloud Architect.Learn about Solution Domains as an approach to design.Lab: Console and Cloud Shell.Lab: Projects.Lab: Infrastructure Preview.Cloud Virtual Networks (CVN), Projects, Networks, Sub Networks, IP addresses, Routes, Firewall rules.Sub Networks for resource management"
Google cloud System Operation,"Overview Google Compute Engine ConsoleManagement Activity and Billing overviewGoogle Compute Engine PricingAn overview of GCEGCE-VM’s- An overviewGCP – Cloud Storage – An overviewGCP – Cloud DataStoreGCP – Cloud SQLGCP – Networking ,Load BalancingGCP – Cloud DNSGCP – Cloud Dataproc ( BigData service)GCP – Cloud IAMIdentify project resources and quotasExplain the purpose of Google Cloud Resource Manager and Identity and Access ManagementUse the Google Developers Console to create and manage multiple projectsUse service accounts and permissions to share view-level access between projectsExplain how to create and move instancesCreate an instance using the Google Developers ConsoleConfigure the Cloud SDK on the Compute"
Google cloud professional cloud,"Introduction to exam Introduction to examOverview of 30 services – Exam perspectiveExam tips on 30 servicesPoints to rememberThe class will be divided into 4 teams, and each team will work one case study and come up with solution based on technical and Business requirements of the customerThe class will be divided into 4 teams, and each team will work one case study and come up with solution based on technical and Business requirements of the customerTeam 1 Will present the case study to entire audience and also outline technical and Business requirements of the customerPrepare a solution architecture diagram and present to the classDescribe what service of Google will be leveraged in the solutionDescribe the role of each one of the services proposed in the solution"
Ansible technical essential,"What and why  of AnsibleAnsible use cases and terminologiesController serverNodesPlaybookAnsible towerAnsible–  Deploy a centos7 serverSsh to centos7 serverInstall and configure AnsibleCreate password less authentication keysDefine nodes to be managed by ansible control serverDeploy a RHEL server + 1 ubuntu 16.04 serverSsh to centos7 serverCreate password less authentication keysCreate a httpd playbook directoryWrite .yml filewrite httpd package install code for RHEL  serverwrite httpd service restart codewrite template resource type to push index.html and log.png to nodewrite user and group creation codeApply the playbook on centos node and validate if website is upCreate a apache2 playbook directoryWrite .yml filewrite apache2 package install code for ubuntu serverwrite"
Chef technical essential,"Infrastructure-As-A-CodeChef Components – 10000 feet overviewChef ServerHosted Chef ServerChef Development kitChef NodesRecipesCookbooksChef AnalyticsChef Push job serverDeploy Ubuntu 14.04 ServerSSH to Ubuntu ServerInstall chef-server on Ubuntu 14.04 linux serverInstall chef-manage on chef-serverInstall and configure Chef-ReportingCreate a user account on hosted chef serverCreate organization on hosted chef server Download chef-starter kitDeploy a Ubuntu 14.04 serverSsh to Ubuntu serverInstall and configure Chef development kitConfigure knife to interact with your own Chef-serverConfigure knife to interact with your Hosted Chef-serverConfigure SSL based connection to chef serverInstall and configure Chef development kitSetup environment variablesConfigure knife to interact with your own Chef-server"
Devops technical essential," What and why of  DevopsDevops Tools – Overview and UsecaseSource Control Management (SCM Tools)Continuous IntegrationStatic ode Analysis ToolStorage ArtifactsContinuous DeploymentContainerizationConfiguration ManagementGithub – Create an account and fork your application codeGit clone the github code , Use maven to compile and package java source codeDeploy .jar file manuallyJenkins – Deploy Jenkins on Ubuntu 14.04 server ( each student will deploy his Jenkins server)Continuous Integration setup – Jenkins and GithubAutomation Maven test, Compile and Package ( .jar) using JenkinsUnderstand sonarqube ( deployed by trainer)Students to Integrate Jenkins (CI) server with Sonarqube  ( lab by students)Sonarqube –static code analysis  and set quality gatesUnderstand Nexus ( deployed by trainer) Nexus storage artifact integration"
